id,titre,prix_mad,ville,quartier,surface_m2,nb_chambres,nb_salles_de_bain,prix_par_m2,scraped_at
17,Appartement Neuf de 138 m² à Harhoura,2200000.0,Temara,Harhoura,138.0,2,2,15942.03,2026-05-07 14:31:06.351629
18,Appartement 120 millions,1200000.0,Rabat,Riyad Extension,76.0,2,2,15789.47,2026-05-07 14:31:06.351743
19,Appart HS 3ch sal terse 127m2 à vendre Mers sultan,1400000.0,Casablanca,Mers Sultan,127.0,3,2,11023.62,2026-05-07 14:31:06.351852
20,Appartement moyen standing Abwab-Guillez,450000.0,Marrakech,Mabrouka,60.0,2,1,7500.0,2026-05-07 14:31:06.351959
21,Appartement RDC 91 m2 à Hay Mohammadi,780000.0,Casablanca,Hay Mohammadi,91.0,4,2,8571.43,2026-05-07 14:31:06.352061
22,Appartement à vendre 105 m² hay el andalos,370000.0,Oujda,Andalous,105.0,3,2,3523.81,2026-05-07 14:31:06.352162
23,Appartement à vendre à Temara,1200000.0,Rabat,Autre Secteur,107.0,3,2,11214.95,2026-05-07 14:31:06.352264
24,Appartement 94 m² lotissement alliance mehdia,700000.0,Kénitra,Alliance,94.0,3,1,7446.81,2026-05-07 14:31:06.352372
25,Appart meublé 2ch salon balcon 91m2 à vendre La Gironde,950000.0,Casablanca,La Gironde,91.0,2,2,10439.56,2026-05-07 14:31:06.352478
26,Appartement à vendre 90 m² à Kénitra alliance,630000.0,Kénitra,Alliance,90.0,2,2,7000.0,2026-05-07 14:31:06.352582
27,Appartement 3 chambres à Mimosas Prix imbattable,820000.0,Kénitra,Mimosas,106.0,3,2,7735.85,2026-05-07 14:31:06.352685
28,Studio moderne avec piscine à vendre,830000.0,Marrakech,Guéliz,45.0,1,1,18444.44,2026-05-07 14:31:06.352795
29,Appartement à vendre 65 m Mdiq 4 min à pied plage,480000.0,Mdiq,Toute La Ville,60.0,2,1,8000.0,2026-05-07 14:31:06.352906
30,Appt à ne pas rater,590000.0,Fès,Route Ain Chkaf,100.0,2,1,5900.0,2026-05-07 14:31:06.353008
31,Appartement à vendre sur Brahim Roudani Casablanca,1350000.0,Casablanca,Maârif Extension,126.0,2,2,10714.29,2026-05-07 14:31:06.353114
32,Appartement à vendre 105 m² El Andalous,370000.0,Oujda,Andalous,105.0,2,2,3523.81,2026-05-07 14:31:06.353307
33,Appartement à vendre 130 m² à plage des nations,1850000.0,Sidi Bouknadel,Toute La Ville,130.0,2,2,14230.77,2026-05-07 14:31:06.353419
34,Appartement à vendre pas de semsar,600000.0,Mohammedia,Nassim,70.0,2,1,8571.43,2026-05-07 14:31:06.353523
35,Appartement à vendre 98 m² à Marrakech M6,1950000.0,Marrakech,Av Mohammed Vi,98.0,3,2,19897.96,2026-05-07 14:31:06.353665
36,Appartement à vendre route de Casablanca,440000.0,Marrakech,Route De Casablanca,60.0,2,1,7333.33,2026-05-07 14:31:06.353774
37,Appartement Asdaa proche Marjane,430000.0,Marrakech,Es Saada,56.0,2,1,7678.57,2026-05-07 14:31:06.353888
38,Appart 3ch 2sa blc 150m2 à vendre 2Mars,2200000.0,Casablanca,2 Mars,150.0,3,2,14666.67,2026-05-07 14:31:06.353995
39,Appartement à vendre 71 m² à ALMAZ,830000.0,Casablanca,Almaz,71.0,2,1,11690.14,2026-05-07 14:31:06.354104
40,Appartement à vendre 115 m² à Temara,1690000.0,Temara,Oued Eddahab,115.0,3,1,14695.65,2026-05-07 14:31:06.354209
41,Magnifique Appartement à vendre 77 m² à Marrakech,1078000.0,Marrakech,Hay Izdihar,77.0,2,2,14000.0,2026-05-07 14:31:06.354327
42,Appartements à vendre lotissement Al Dha.,390000.0,Laâyoune,Toute La Ville,86.0,2,1,4534.88,2026-05-07 14:31:06.354482
43,Appartement PKH 17 de 60 m²,1209700.0,Marrakech,Guéliz,60.0,2,2,20161.67,2026-05-07 14:31:06.354618
44,Appart à vendre 76 m² (Rez Chaussée) à Bouznika,530000.0,Bouznika,Autre Secteur,76.0,2,1,6973.68,2026-05-07 14:31:06.354753
45,Appartement à vendre 90 m² à Oujda,290000.0,Oujda,Agdal,130.0,3,1,2230.77,2026-05-07 14:31:06.354890
46,"Haut Founty - Appart à vendre 108m², 3 ch, 5e",1240000.0,Agadir,Haut-Founty,110.0,3,2,11272.73,2026-05-07 14:31:06.355026
47,Appartement à vendre 58 m Mdiq 4 min à pied plage,490000.0,Mdiq,Toute La Ville,58.0,2,1,8448.28,2026-05-07 14:31:06.355161
48,Saidia AP2 - Appart de 118m² – proche du Golf,960000.0,Saidia,Toute La Ville,118.0,2,2,8135.59,2026-05-07 14:31:06.355308
49,Appartements à vendre près de la station routière Hararine,570000.0,Tanger,Aharrarine,60.0,2,1,9500.0,2026-05-07 14:31:06.355435
50,Appartement 3 chambres façade,1090000.0,Kénitra,Centre,128.0,3,2,8515.62,2026-05-07 14:31:06.355560
51,Appartement à vendre,950000.0,Tanger,Centre,75.0,2,1,12666.67,2026-05-07 14:31:06.355683
52,Appartement 3 ch salon 87m2 près Sup de co,920000.0,Marrakech,Bd Moulay Abdellah,87.0,3,1,10574.71,2026-05-07 14:31:06.355813
53,Appartement à vendre 106 m² à Guéliz,1500000.0,Marrakech,Guéliz,106.0,2,1,14150.94,2026-05-07 14:31:06.355942
54,Appartement à vendre 134 m² à Tanger,2546000.0,Tanger,De La Plage,134.0,3,2,19000.0,2026-05-07 14:31:06.356071
55,"appartement wifaq , résidence avec piscine",1750000.0,Temara,Wifak,103.0,3,2,16990.29,2026-05-07 14:31:06.356193
56,APPART 91m 2FACES vue piscine à MARBELLA BEACH,1030000.0,Mohammedia,Autre Secteur,91.0,2,2,11318.68,2026-05-07 14:31:06.356314
57,Appartements Adliya à Hay Rachad,190000.0,Rabat,Hay Arrachad,60.0,2,1,3166.67,2026-05-07 14:31:06.356437
58,Aptmts neuf à hay riyad,3400000.0,Rabat,Hay Riad,120.0,3,1,28333.33,2026-05-07 14:31:06.356561
59,Appartement à vendre 95 m² à Marrakech palmeraie,1500000.0,Marrakech,Palmeraie,95.0,2,2,15789.47,2026-05-07 14:31:06.356684
60,Appartement à vendre,550000.0,Tanger,Autre Secteur,60.0,2,1,9166.67,2026-05-07 14:31:06.414477
61,🏢 À VENDRE – Appartement Spacieux avec Parking,1200000.0,Agadir,Hay Mohammadi,113.0,3,2,10619.47,2026-05-07 14:31:06.356816
62,Appartement à à Plage des Nations,2500000.0,Sidi Bouknadel,Toute La Ville,98.0,2,2,25510.2,2026-05-07 14:31:06.357028
63,Appartement meublé à vendre Hay Azdihar,560000.0,Marrakech,Hay Izdihar,60.0,2,1,9333.33,2026-05-07 14:31:06.357157
64,Appartement 120m² Chouka à vendre à Casablanca.,1080000.0,Casablanca,Hay Mohammadi,120.0,3,2,9000.0,2026-05-07 14:31:06.357285
65,"Appartement enregistré et meublé, quartier Ahlan",900000.0,Tanger,Ahlane,66.0,2,1,13636.36,2026-05-07 14:31:06.357410
66,Appartement 57 m² – 6e étage – Triple Tower,1500000.0,Tanger,Malabata,57.0,2,1,26315.79,2026-05-07 14:31:06.357533
67,Appartement à vendre 47 m Mdiq 4 min à pied plage,380000.0,Mdiq,Toute La Ville,50.0,1,1,7600.0,2026-05-07 14:31:06.357721
68,Appartement 93 m² 3 chambres ascenseur syndic 4 minutes centre-ville,750000.0,Tanger,Tanja Balia,93.0,3,2,8064.52,2026-05-07 14:31:06.357879
69,Appartement à vendre Hay Mohammadi,980000.0,Agadir,Hay Mohammadi,77.0,2,1,12727.27,2026-05-07 14:31:06.358005
70,Meknes Ouislane Rue Tazart,320000.0,Meknès,Wislane,70.0,1,1,4571.43,2026-05-07 14:31:06.358135
71,Appartement Tanger Balia,620000.0,Tanger,Tanja Balia,78.0,2,1,7948.72,2026-05-07 14:31:06.358256
72,Appartement à Bousejour liquidation,980000.0,Casablanca,Beauséjour,106.0,2,2,9245.28,2026-05-07 14:31:06.358414
73,Spacieux appartement deux façades Belvédère,1100000.0,Casablanca,Belvédère,163.0,2,2,6748.47,2026-05-07 14:31:06.358541
74,Appartement à vendre – Quartier Bachkou,1500000.0,Casablanca,Bachkou,106.0,2,2,14150.94,2026-05-07 14:31:06.358668
75,Appartement à vendre 63 m² route de Tétouan,540000.0,Tanger,Mghogha,63.0,2,1,8571.43,2026-05-07 14:31:06.358799
76,appartement bourgogne,2750000.0,Casablanca,Bourgogne,212.0,4,3,12971.7,2026-05-07 14:31:06.358929
77,Appartement à vendre 39 m² à Marrakech,698500.0,Marrakech,Route D'Amezmiz,44.0,1,1,15875.0,2026-05-07 14:31:06.359092
78,Studio à vendre 52 m² à Californie,1100000.0,Casablanca,Californie,58.0,1,1,18965.52,2026-05-07 14:31:06.359222
79,À vendre Superbe appartement 3 ch-Jnane Californie,1850000.0,Casablanca,Californie,119.0,3,2,15546.22,2026-05-07 14:31:06.359352
80,Appartement à vendre au centre-ville avec ascenseur,530000.0,Bouznika,Autre Secteur,58.0,2,1,9137.93,2026-05-07 14:31:06.359478
81,Appartement de 3 pièces à vendre près de la station El Jadida Hararien,750000.0,Tanger,Aharrarine,80.0,3,2,9375.0,2026-05-07 14:31:06.359611
82,Appartement luxueux 2 façades Bourgogne,1540000.0,Casablanca,Bourgogne,112.0,3,2,13750.0,2026-05-07 14:31:06.359739
83,Lux appartement ou cabinet à Bourgogne,1380000.0,Casablanca,Bourgogne,125.0,3,2,11040.0,2026-05-07 14:31:06.359870
84,Spacieux appartement au rond-point Émile Zola,1680000.0,Casablanca,Belvédère,155.0,4,2,10838.71,2026-05-07 14:31:06.359996
85,Appartement à vendre à Mdiq,860000.0,Mdiq,Toute La Ville,155.0,2,2,5548.39,2026-05-07 14:31:06.360122
86,Appartements de qualité à vendre à Ain Atiq,850000.0,Temara,Ain Atig,88.0,3,1,9659.09,2026-05-07 14:31:06.360255
87,Appartement à vendre 96 m² à Marrakech,1350000.0,Marrakech,Hay Izdihar,100.0,2,2,13500.0,2026-05-07 14:31:06.360380
88,Appartement Lux 69m,500000.0,Had Soualem,Toute La Ville,69.0,2,2,7246.38,2026-05-07 14:31:06.360531
89,Appartement à vendre 78 m² à Mohammedia,770000.0,Mohammedia,Autre Secteur,78.0,2,2,9871.79,2026-05-07 14:31:06.360655
90,Appartement avec cour à Bouznika,710000.0,Bouznika,Autre Secteur,108.0,2,2,6574.07,2026-05-07 14:31:06.360789
91,Appartement à vendre,1200000.0,Tanger,Aida,90.0,3,1,13333.33,2026-05-07 14:31:06.360940
92,Appartement à vendre 133 m² à Casablanca,1540000.0,Casablanca,Franceville,133.0,3,2,11578.95,2026-05-07 14:31:06.361065
93,Très bel appartement rénové,1500000.0,Marrakech,Palmeraie,90.0,2,2,16666.67,2026-05-07 14:31:06.361192
94,Appartement 58 m2 avec piscine à gueliz,928000.0,Marrakech,Guéliz,58.0,1,1,16000.0,2026-05-07 14:31:06.361317
95,Appartement à vendre 130 m² à El Jadida,1070000.0,El Jadida,Hay Essalam,130.0,3,3,8230.77,2026-05-07 14:31:06.361446
96,Appartement à vendre Massira 1 81m2,750000.0,Marrakech,Massira 1,81.0,2,1,9259.26,2026-05-07 14:31:06.361569
97,Appartement et studio sur toit à vendre,760000.0,El Jadida,Autre Secteur,106.0,4,2,7169.81,2026-05-07 14:31:06.361693
98,Appartement à vendre 170 m² à Rabat,3450000.0,Rabat,Hay Riad,170.0,3,2,20294.12,2026-05-07 14:31:06.361830
99,Appartement à vendre 64 m² à Martil,380000.0,Martil,Toute La Ville,63.0,2,1,6031.75,2026-05-07 14:31:06.361955
100,appartement à vendre,1200000.0,Tanger,Aida,97.0,3,2,12371.13,2026-05-07 14:31:06.398313
101,Appartement à vendre 124 m² à Casablanca,3500000.0,Casablanca,Casablanca Finance City,124.0,2,2,28225.81,2026-05-07 14:31:06.362083
102,appartement la perle de l'atlas 54m2,800000.0,Marrakech,Guéliz,54.0,1,1,14814.81,2026-05-07 14:31:06.362206
103,VENTE D’UN BEL APPARTEMENT DE 117M2,1900000.0,Casablanca,Les Princesses,117.0,3,2,16239.32,2026-05-07 14:31:06.362336
104,Appartement à vendre près de Carré Éden Marrakech,1360000.0,Marrakech,Guéliz,81.0,1,1,16790.12,2026-05-07 14:31:06.362460
105,Élégant Studio à vendre 63 m² à Marrakech,1134000.0,Marrakech,Guéliz,63.0,1,1,18000.0,2026-05-07 14:31:06.362591
106,Appartement à vendre devant la nouvelle gare routière sans intermédiaire,505000.0,Tanger,Autre Secteur,67.0,2,1,7537.31,2026-05-07 14:31:06.362721
107,Appartement à vendre 147 m² à Rabat,3400000.0,Rabat,Agdal,150.0,3,2,22666.67,2026-05-07 14:31:06.362865
108,Appartement à vendre 78 m² à Deroua,460000.0,Deroua,Toute La Ville,78.0,2,1,5897.44,2026-05-07 14:31:06.363020
109,Appartement 157m² – SANS VIS-À-VIS – CASABLANCA,2200000.0,Casablanca,Quartier Des Hôpitaux,157.0,2,2,14012.74,2026-05-07 14:31:06.363146
110,"Studio, local commercial, droit à la terrasse et aide au logement",620000.0,Marrakech,Azli,83.0,1,1,7469.88,2026-05-07 14:31:06.363272
111,"Résidence Prestige 2, Quartier Al-Azhar",860000.0,Casablanca,Sidi Bernoussi,101.0,3,2,8514.85,2026-05-07 14:31:06.363396
112,Appartement à vendre 134 m² à Casablanca,3000000.0,Casablanca,Racine,154.0,3,3,19480.52,2026-05-07 14:31:06.363518
113,APPARTEMENT A VENDRE HAUT FOUNTY,1400000.0,Agadir,Haut-Founty,97.0,3,2,14432.99,2026-05-07 14:31:06.363642
114,Appartement 3 chambres 80 mètres ascenseur syndic 5 minutes Malabata,750000.0,Tanger,Tanja Balia,80.0,3,1,9375.0,2026-05-07 14:31:06.363772
115,À VENDRE APPARTEMENT LUMINEUX,420000.0,Marrakech,Hay Charaf,60.0,1,1,7000.0,2026-05-07 14:31:06.363906
116,Studios neufs à vendre,1250000.0,Casablanca,Palmier,53.0,1,1,23584.91,2026-05-07 14:31:06.364032
117,Appartement à vendre 145 m² à la marina casablanca,3900000.0,Tanger,Autre Secteur,155.0,2,3,25161.29,2026-05-07 14:31:06.364156
118,Appartement à vendre 176 m² à Tanger,3500000.0,Tanger,Administratif,176.0,4,2,19886.36,2026-05-07 14:31:06.364289
119,Appartement à vendre TANGER EL BALIA 80m²,1200000.0,Tanger,Autre Secteur,80.0,2,1,15000.0,2026-05-07 14:31:06.364412
120,Appartement à vendre 172 m² à Casablanca,2100000.0,Casablanca,2 Mars,172.0,3,3,12209.3,2026-05-07 14:31:06.364541
121,À vendre appartement 3 CH avec terrasse de 44m2,2350000.0,Casablanca,Ferme Bretone,144.0,3,3,16319.44,2026-05-07 14:31:06.364690
122,Appartement à vendre à Martil près de Ahrik,580000.0,Martil,Toute La Ville,62.0,2,1,9354.84,2026-05-07 14:31:06.364820
123,Appartement à vendre 100 m² à Casablanca,1300000.0,Casablanca,Quartier Des Hôpitaux,100.0,3,2,13000.0,2026-05-07 14:31:06.364951
124,Charmant appartement à vendre - Résidence OUBAHA,1150000.0,El Mansouria,Toute La Ville,100.0,3,2,11500.0,2026-05-07 14:31:06.365081
125,Appartement 80 m2 deux face lotissement alliance,640000.0,Kénitra,Alliance,80.0,2,2,8000.0,2026-05-07 14:31:06.365207
126,Très belle appartement proximité hay riad,1160000.0,Temara,Riad Oulad Mtaa,85.0,3,2,13647.06,2026-05-07 14:31:06.365334
127,Appartement à vendre 95 m² à Marrakech,1350000.0,Marrakech,Route De Safi,95.0,2,1,14210.53,2026-05-07 14:31:06.365458
128,Superbe appartement familial au cœur Racine,4216000.0,Casablanca,Racine,284.0,3,3,14845.07,2026-05-07 14:31:06.365583
129,Grand Appartement Plein Centre de Kénitra 154 m²,1360000.0,Kénitra,Centre,154.0,3,2,8831.17,2026-05-07 14:31:06.365707
130,Appartement à vendre sur Hay Riad Prestigia,3200000.0,Rabat,Hay Riad,117.0,3,2,27350.43,2026-05-07 14:31:06.365839
131,Appartement Haut standing à vendre / piscine,1900000.0,Marrakech,Ain Mezouar,100.0,3,2,19000.0,2026-05-07 14:31:06.365969
132,Bel appartement,395000.0,Saidia,Toute La Ville,76.0,3,2,5197.37,2026-05-07 14:31:06.366131
133,Très Très belle Appartement à Bouznika plage,1450000.0,Bouznika,Plage Oued Cherrat,95.0,2,2,15263.16,2026-05-07 14:31:06.366266
134,Appartement neuf à Sala El Jadida,1099800.0,Salé,Sala El Jadida,94.0,2,2,11700.0,2026-05-07 14:31:06.366396
135,Appartement à vendre 186 m² à Tanger,7200000.0,Tanger,Malabata,186.0,4,2,38709.68,2026-05-07 14:31:06.366520
136,"Appartement de propriétaire à vendre Tétouan, quartier Ttfa7iyoun, 3ème étage",170000.0,Tétouan,Autre Secteur,82.0,2,1,2073.17,2026-05-07 14:31:06.366647
137,"Studio neuf à vendre – Bourgogne, Casablanca",1270000.0,Casablanca,Bourgogne,66.0,1,1,19242.42,2026-05-07 14:31:06.366786
138,Appartement à vendre 110 m² à Bouznika,1670000.0,Bouznika,Autre Secteur,118.0,3,2,14152.54,2026-05-07 14:31:06.366916
139,Appartement à vendre Ain Suna,540000.0,Marrakech,M'Hamid,64.0,2,2,8437.5,2026-05-07 14:31:06.367049
140,Appartement à vendre 150 m² à Casablanca,3400000.0,Casablanca,Oasis,163.0,3,2,20858.9,2026-05-07 14:31:06.367175
141,Appartement résidentiel titré à vendre à Tanger,800000.0,Tanger,Autre Secteur,95.0,3,1,8421.05,2026-05-07 14:31:06.367302
142,Des appartements à vendre,420000.0,Agadir,Autre Secteur,58.0,2,2,7241.38,2026-05-07 14:31:06.367468
143,Studio 42m Neuf Maarif Proche BD Biranzaran,980000.0,Casablanca,Maarif,42.0,1,1,23333.33,2026-05-07 14:31:06.367601
144,Vente appartement Fal El Hanaa,630000.0,Casablanca,Ain Sebaa,59.0,2,1,10677.97,2026-05-07 14:31:06.367727
145,appartement résidence fermée,930000.0,Casablanca,Oulfa,70.0,2,2,13285.71,2026-05-07 14:31:06.367860
146,Appartement à vendre 128 m² à Bouskoura,1300000.0,Bouskoura,Victoria,140.0,3,2,9285.71,2026-05-07 14:31:06.367986
147,Appartement à vendre à Marina Golf Asilah,950000.0,Asilah,Toute La Ville,150.0,2,1,6333.33,2026-05-07 14:31:06.368109
148,Spacieux appartement à vendre avec terrasse,1900000.0,Marrakech,Route D'Ourika,99.0,2,1,19191.92,2026-05-07 14:31:06.368237
149,Appartement neuf à vendre Ain Sebaa,1070000.0,Casablanca,Ain Sebaa,81.0,2,2,13209.88,2026-05-07 14:31:06.368362
150,Appartement à vendre,650000.0,Agadir,Tilila,67.0,2,2,9701.49,2026-05-07 14:31:06.368507
151,Appartement à vendre 52 m² à Marrakech,1200000.0,Marrakech,Guéliz,52.0,1,1,23076.92,2026-05-07 14:31:06.368630
152,Un appartement,1100000.0,Meknès,Hamria,200.0,3,2,5500.0,2026-05-07 14:31:06.368762
153,Appartement en vente 61m² à Gueliz Piscine Rooftop,1500000.0,Marrakech,Guéliz,61.0,1,1,24590.16,2026-05-07 14:31:06.368897
154,Appartement 3 chambres à 2min de Casanearshore,780000.0,Casablanca,Sidi Maarouf,70.0,3,1,11142.86,2026-05-07 14:31:06.369028
155,Appartement à vendre 80 m² à Kénitra,490000.0,Kénitra,Seyad,80.0,2,1,6125.0,2026-05-07 14:31:06.369154
156,Appartements modernes à vendre à Marrakech,740000.0,Marrakech,Azli,53.0,3,2,13962.26,2026-05-07 14:31:06.369276
157,Appartements à vendre,1400000.0,Agadir,Haut-Founty,70.0,2,2,20000.0,2026-05-07 14:31:06.369561
158,Appartement à vendre 133 m² sur 2 mars,1700000.0,Casablanca,2 Mars,133.0,3,2,12781.95,2026-05-07 14:31:06.369691
159,Appartement à vendre 165 m² La perle D'Agadir,2272500.0,Agadir,Talborjt,165.0,4,1,13772.73,2026-05-07 14:31:06.369831
160,appartements à vendre,1600000.0,Agadir,Hay Mohammadi,128.0,3,2,12500.0,2026-05-07 14:31:06.369956
161,Appartement 120 m² en vente à Narjis Fès,560000.0,Fès,Narjis,120.0,3,2,4666.67,2026-05-07 14:31:06.370086
162,Appartement à vendre 3 chambres,960000.0,Kénitra,Val Fleury,112.0,3,2,8571.43,2026-05-07 14:31:06.370211
163,Appartements à vendre 64 m² à Ben Guerir,300000.0,Ben Guerir,Toute La Ville,64.0,3,2,4687.5,2026-05-07 14:31:06.370339
164,App kech 95 m² 1er étage 1 balcon,800000.0,Marrakech,M'Hamid,95.0,3,1,8421.05,2026-05-07 14:31:06.370463
165,Appartements à vendre,1220000.0,Agadir,Hay Mohammadi,107.0,3,2,11401.87,2026-05-07 14:31:06.370588
166,Appartement à vendre 120 m² à Tanger,2500000.0,Tanger,Autre Secteur,165.0,2,2,15151.52,2026-05-07 14:31:06.370718
167,Appartements à vendre,870000.0,Agadir,Hay Mohammadi,66.0,2,2,13181.82,2026-05-07 14:31:06.370856
168,"Appartement à El Jadida, quartier El Milha, sur la rue",550000.0,El Jadida,Mouilha,88.0,2,1,6250.0,2026-05-07 14:31:06.370986
169,Appartements à vendre,1157000.0,Agadir,Tilila,89.0,2,1,13000.0,2026-05-07 14:31:06.371153
170,"Duplex avec garage privé Sidi Maarouf, Essaada",1650000.0,Casablanca,Sidi Maarouf,159.0,2,3,10377.36,2026-05-07 14:31:06.371281
171,Appartement à vendre 70 m² à Kénitra,360000.0,Kénitra,Bir Rami,70.0,2,2,5142.86,2026-05-07 14:31:06.371407
172,Appartement à vendre 89 m² à Tanger malabata,2136000.0,Tanger,Malabata,89.0,2,1,24000.0,2026-05-07 14:31:06.371533
173,Appartement à vendre 170 m² à CFC,4200000.0,Casablanca,Casablanca Finance City,170.0,3,3,24705.88,2026-05-07 14:31:06.371661
174,"Bel appartement à vendre Bourgogne, My Youssef",1280000.0,Casablanca,Bourgogne,93.0,2,2,13763.44,2026-05-07 14:31:06.371795
175,Appartement triplex à vendre 128m² à HM Casablanca,850000.0,Casablanca,Hay Mohammadi,128.0,4,2,6640.62,2026-05-07 14:31:06.371953
176,Des apt neuf a vendre 85 m2 tanger,1147500.0,Tanger,Marjane,96.0,2,2,11953.12,2026-05-07 14:31:06.372089
177,Appt Dar Bouazza 53 m2 jamais habité - calme,600000.0,Dar Bouazza,Toute La Ville,53.0,2,1,11320.75,2026-05-07 14:31:06.372214
178,Appartement à vendre à Salé 111m² 4ème étage,1215000.0,Salé,Tabriquet,111.0,2,2,10945.95,2026-05-07 14:31:06.372372
179,Appartement à vendre 118 m² à Salé,1420000.0,Salé,Sala El Jadida,118.0,3,2,12033.9,2026-05-07 14:31:06.372500
180,"Appartements à vendre à Meknès, premier étage",500000.0,Meknès,Autre Secteur,100.0,3,2,5000.0,2026-05-07 14:31:06.372654
181,Appartements à vendre,3000000.0,Agadir,Haut-Founty,187.0,3,3,16042.78,2026-05-07 14:31:06.372799
182,Appartement 2 chambres corniche investisseurs airbnb,1100000.0,Tanger,Malabata,75.0,2,1,14666.67,2026-05-07 14:31:06.372934
183,Appartements à vendre,980000.0,Agadir,Hay Mohammadi,75.0,2,2,13066.67,2026-05-07 14:31:06.373067
184,Appartements à vendre,2800000.0,Agadir,Haut-Founty,150.0,3,3,18666.67,2026-05-07 14:31:06.373197
185,Appartement vue sur mer à vendre à Asilah,1800000.0,Aquouass Briech,Toute La Ville,133.0,3,2,13533.83,2026-05-07 14:31:06.373326
186,Bel appart RDC SUR centre ville,650000.0,Mohammedia,Centre Ville,80.0,2,1,8125.0,2026-05-07 14:31:06.373450
187,Appartement à vendre à Cabo Negro,1400000.0,Cabo Negro,Toute La Ville,75.0,1,1,18666.67,2026-05-07 14:31:06.373574
188,Appartement Valencia Beach Mansouria,840000.0,Mohammedia,Corniche,89.0,2,1,9438.2,2026-05-07 14:31:06.373715
189,Appartement à vendre 121 m² à Casablanca,2000000.0,Casablanca,Californie,121.0,3,2,16528.93,2026-05-07 14:31:06.373846
190,3 Chambres à vendre 143 m² à Californie,2255000.0,Casablanca,Californie,143.0,3,2,15769.23,2026-05-07 14:31:06.373975
191,Appartement titré à vendre à Tanger Chtouka,750000.0,Tanger,Aouama Gharbia,100.0,2,2,7500.0,2026-05-07 14:31:06.374099
192,Appartement 87 m2 av Alla El Fassi,680000.0,Marrakech,Allal El Fassi,87.0,2,2,7816.09,2026-05-07 14:31:06.374222
193,Appartement à vendre 94 m² à Temara Wifak,1250000.0,Temara,Oued Eddahab,94.0,3,1,13297.87,2026-05-07 14:31:06.374345
194,Studio vue piscine à vendre 51 m² à Marrakech,1150000.0,Marrakech,Hivernage,51.0,1,1,22549.02,2026-05-07 14:31:06.374472
195,"Appartement à vendre Saada, près de Marjane, route de Casa, en sous-sol",440000.0,Marrakech,Es Saada,60.0,2,1,7333.33,2026-05-07 14:31:06.374601
196,Appartement à vendre 97 m² à Marrakech,2330000.0,Marrakech,Guéliz,97.0,2,1,24020.62,2026-05-07 14:31:06.374727
197,Appartement à vendre 82 m² à Kénitra,390000.0,Kénitra,Bir Rami,82.0,2,2,4756.1,2026-05-07 14:31:06.374869
198,Penthouse avec piscine à vendre 320 m² à Tanger,7680000.0,Tanger,Malabata,320.0,2,1,24000.0,2026-05-07 14:31:06.374995
199,Appartement 47 m2 av Allal El Fassi,600000.0,Marrakech,Allal El Fassi,47.0,2,1,12765.96,2026-05-07 14:31:06.375120
200,Appartement 150 m² en vente près Clinique Razi,800000.0,Fès,Autre Secteur,150.0,3,1,5333.33,2026-05-07 14:31:06.375245
